name,sn,carbons
FA 18:0,1,18
FA 18:1(9Z),1,18
"FA 18:2(9Z,12Z)",1,18
FA 18:1(9),1,18
FA 18:0;5OH,1,18
FA 18:0;5oxo,1,18
FA 18:1,1,18
FA 18:2,1,18
FA 18:3,1,18
FA 18:2(9),1,18
FA 18:0;OH,1,18
FA 18:0;oxo,1,18
FA 18:0;COOH,1,18
FA 18:1(9);OH,1,18
FA 18:1;OH,1,18
"FA 20:4(5,8,11,14);15OH",1,20
PC 16:0/18:1(9),1,16
PC 16:0/18:1(9),2,18
PC 16:0/18:1,1,16
PC 16:0/18:1,2,18
PE 16:0/18:1(9),1,16
PE 16:0/18:1(9),2,18
PS 16:0/18:1(9),1,16
PS 16:0/18:1(9),2,18
PG 16:0/18:1(9),1,16
PG 16:0/18:1(9),2,18
PI 16:0/18:1(9),1,16
PI 16:0/18:1(9),2,18
PA 16:0/18:1(9),1,16
PA 16:0/18:1(9),2,18
DG 16:0/18:1(9),1,16
DG 16:0/18:1(9),2,18
"TG 16:0/18:1(9)/18:2(9,12)",1,16
"TG 16:0/18:1(9)/18:2(9,12)",2,18
"TG 16:0/18:1(9)/18:2(9,12)",3,18
CL 16:0/18:1(9)/16:0/18:1(9),1,16
CL 16:0/18:1(9)/16:0/18:1(9),2,18
CL 16:0/18:1(9)/16:0/18:1(9),3,16
CL 16:0/18:1(9)/16:0/18:1(9),4,18
PC 16:0_18:1(9),1,16
PC 16:0_18:1(9),2,18
DG 16:0_18:1(9),1,16
DG 16:0_18:1(9),2,18
"TG 16:0_18:1(9)_18:2(9,12)",1,16
"TG 16:0_18:1(9)_18:2(9,12)",2,18
"TG 16:0_18:1(9)_18:2(9,12)",3,18
CL 16:0_18:1(9)_16:0_18:1(9),1,16
CL 16:0_18:1(9)_16:0_18:1(9),2,18
CL 16:0_18:1(9)_16:0_18:1(9),3,16
CL 16:0_18:1(9)_16:0_18:1(9),4,18
PC 16:0_18:1,1,16
PC 16:0_18:1,2,18
PC 16:0_18:1(9);OH,1,16
PC 16:0_18:1(9);OH,2,18
TG 16:0_18:1_18:2,1,16
TG 16:0_18:1_18:2,2,18
TG 16:0_18:1_18:2,3,18
LPC 18:1(9),1,18
MG 18:1(9),1,18
CE 18:1(9),1,18
CAR 16:0,1,16
"NAE 20:4(5,8,11,14)",1,20
"AMP-FA 20:4(5,8,11,14)",1,20
Cer d18:1(4)/16:0,1,18
Cer d18:1(4)/16:0,2,16
SM d18:1(4)/16:0,1,18
SM d18:1(4)/16:0,2,16
HexCer d18:1(4)/16:0,1,18
HexCer d18:1(4)/16:0,2,16
Sph d18:1(4),1,18
S1P d18:1(4),1,18
PC O-16:0/18:1(9),1,16
PC O-16:0/18:1(9),2,18
PC P-16:0/18:1(9),1,16
PC P-16:0/18:1(9),2,18
FA 20:4,1,20
"FA 20:4(5,8,11,14);3OH",1,20
PC 16:0/18:2,1,16
PC 16:0/18:2,2,18
DG 18:0/18:2;5OH,1,18
DG 18:0/18:2;5OH,2,18
"DG 18:0/18:2(9,12);OH",1,18
"DG 18:0/18:2(9,12);OH",2,18
DG 16:0_18:1,1,16
DG 16:0_18:1,2,18
TG 18:0_18:1_18:2,1,18
TG 18:0_18:1_18:2,2,18
TG 18:0_18:1_18:2,3,18
DG 18:1(9);5OH_18:1;OH,1,18
DG 18:1(9);5OH_18:1;OH,2,18
FA 18:0;5Me,1,18
"FA 16:0;3Me,7Me,11Me,15Me",1,16
FA 18:0;5Et,1,18
FA 18:0;5Br,1,18
FA 18:1(9);12NO2,1,18
FA 18:0;5OOH,1,18
FA 18:0;5CN,1,18
FA 18:0;5P,1,18
FA 18:0;9Ep,1,18
FA 19:1;[11-13cy3:0],1,19
FA 19:0;[9-11cy3:1(9)],1,19
FA 18:1(6Z);[14-18cy5:1(15)],1,18
"FA 20:2(5,8);[11-15cy5;13OH];18OH",1,20
FA 18:0;[5-10cy6:0],1,18
PC 16:0/18:1(9);12OH,1,16
PC 16:0/18:1(9);12OH,2,18
TG 16:0/18:0;5Me/18:1(9),1,16
TG 16:0/18:0;5Me/18:1(9),2,18
TG 16:0/18:0;5Me/18:1(9),3,18
Cer d18:1(4)/16:0;9Ep,1,18
Cer d18:1(4)/16:0;9Ep,2,16
