name,cxsmiles,expanded
FA 18:0,OC(=O)CCCCCCCCCCCCCCCCC,OC(=O)CCCCCCCCCCCCCCCCC
FA 18:1(9Z),OC(=O)CCCCCCC/C=C\CCCCCCCC,OC(=O)CCCCCCC/C=C\CCCCCCCC
"FA 18:2(9Z,12Z)",OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,OC(=O)CCCCCCC/C=C\C/C=C\CCCCC
FA 18:1(9),OC(=O)CCCCCCCC=CCCCCCCCC,OC(=O)CCCCCCCC=CCCCCCCCC
FA 18:0;5OH,OC(=O)CCCC(O)CCCCCCCCCCCCC,OC(=O)CCCC(O)CCCCCCCCCCCCC
FA 18:0;5oxo,OC(=O)CCCC(=O)CCCCCCCCCCCCC,OC(=O)CCCC(=O)CCCCCCCCCCCCC
FA 18:1,"OC(=O)CC=CC |Sg:n:3:a:ht,Sg:n:6:b:ht| a+b=15",OC(=O)CCCCCCCC=CCCCCCCCC
FA 18:2,"OC(=O)CC=CC=CC |Sg:n:3:a:ht,Sg:n:5:b:ht,Sg:n:8:c:ht| a+b+c=14",OC(=O)CCCCC=CCCCC=CCCCCCC
FA 18:3,"OC(=O)CC=CC=CC=CC |Sg:n:3:a:ht,Sg:n:5:b:ht,Sg:n:7:c:ht,Sg:n:10:d:ht| a+b+c+d=13",OC(=O)CCCC=CCCC=CCCC=CCCCC
FA 18:2(9),"OC(=O)CCCCCCCC=CCC=CC |Sg:n:12:a:ht,Sg:n:15:b:ht| a+b=6",OC(=O)CCCCCCCC=CCCCC=CCCC
FA 18:0;OH,OC(=O)CCCCCCCCCCCCCCCCC.*O |m:20:3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19|,OC(=O)CCCCCCCCCCCCCCCCC.*O
FA 18:0;oxo,OC(=O)CCCCCCCCCCCCCCCCC.*=O |m:20:3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19|,OC(=O)CCCCCCCCCCCCCCCCC.*=O
FA 18:0;COOH,OC(=O)CCCCCCCCCCCCCCCCC.*C(=O)O |m:20:3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19|,OC(=O)CCCCCCCCCCCCCCCCC.*C(=O)O
FA 18:1(9);OH,OC(=O)CCCCCCCC=CCCCCCCCC.*O |m:20:3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19|,OC(=O)CCCCCCCC=CCCCCCCCC.*O
FA 18:1;OH,"OC(=O)CC=CC.*O |Sg:n:3:a:ht,Sg:n:6:b:ht,m:7:3.4.5.6| a+b=15",OC(=O)CCCCCCCC=CCCCCCCCC.*O
"FA 20:4(5,8,11,14);15OH",OC(=O)CCCC=CCC=CCC=CCC=C(O)CCCCC,OC(=O)CCCC=CCC=CCC=CCC=C(O)CCCCC
PC 16:0/18:1(9),C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
PC 16:0/18:1,"C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CC=CC)COC(=O)CCCCCCCCCCCCCCC |Sg:n:16:a:ht,Sg:n:19:b:ht| a+b=15",C(COP(=O)([O-])OCC[N+](C)(C)C)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
PE 16:0/18:1(9),C(COP(=O)(O)OCCN)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,C(COP(=O)(O)OCCN)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
PS 16:0/18:1(9),C(COP(=O)(O)OCC(N)C(=O)O)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,C(COP(=O)(O)OCC(N)C(=O)O)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
PG 16:0/18:1(9),C(COP(=O)(O)OCC(O)CO)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,C(COP(=O)(O)OCC(O)CO)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
PI 16:0/18:1(9),C(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,C(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
PA 16:0/18:1(9),C(COP(=O)(O)O)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,C(COP(=O)(O)O)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
DG 16:0/18:1(9),C(CO)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,C(CO)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
"TG 16:0/18:1(9)/18:2(9,12)",C(COC(=O)CCCCCCCC=CCC=CCCCCC)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,C(COC(=O)CCCCCCCC=CCC=CCCCCC)(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
CL 16:0/18:1(9)/16:0/18:1(9),C(COP(=O)(O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)(O)COP(=O)(O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,C(COP(=O)(O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)(O)COP(=O)(O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
